,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),13,625,53,4,7,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,3,2,0
Speed limit (50km/h),3,17,697,8,3,3,1,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,4,0
Speed limit (60km/h),0,0,9,398,0,28,1,0,1,1,1,0,0,0,0,4,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Speed limit (70km/h),16,15,18,3,570,14,0,5,6,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,2,1,0
Speed limit (80km/h),8,9,93,13,35,440,0,10,5,1,0,0,0,0,0,2,3,0,0,0,2,0,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2
End of speed limit (80km/h),0,1,10,2,0,12,115,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Speed limit (100km/h),0,2,21,1,7,18,0,313,81,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Speed limit (120km/h),1,1,2,0,0,1,0,1,426,0,0,0,0,1,0,5,0,1,1,0,1,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
No passing,0,0,0,2,0,1,0,0,2,442,18,0,0,0,0,0,12,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing for vehicles over 3.5 metric tons,0,0,1,0,0,2,0,0,2,0,636,0,0,0,0,1,0,0,0,0,10,0,0,1,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0
Right-of-way at the next intersection,0,0,0,0,0,0,0,0,0,0,0,354,2,0,0,0,0,0,4,4,0,3,0,2,1,0,11,10,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Priority road,0,2,2,0,0,0,0,0,4,0,2,3,655,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,6,0,4
Yield,0,0,0,2,0,3,0,0,0,0,0,0,2,696,0,3,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,1,0,0,0,3,0,0,1,1
Stop,0,0,0,0,0,2,0,0,0,0,0,0,0,1,260,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
No vehicles,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No entry,0,1,0,0,0,0,5,0,1,2,0,3,2,0,5,0,0,321,0,0,2,1,0,0,0,0,2,0,6,7,0,0,0,0,1,0,0,0,0,0,1,0,0
General caution,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,301,1,2,5,1,2,0,4,18,26,20,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,4,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Dangerous curve to the right,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,0,0,18,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0
Double curve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0,20,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Bumpy road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,5,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Slippery road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,119,2,0,0,0,12,1,0,1,0,5,0,0,0,0,0,0,0,0,0
Road narrows on the right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12,47,0,4,2,8,11,1,2,0,0,0,0,0,0,0,0,0,0,0
Road work,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,18,1,1,5,0,425,1,10,2,1,5,2,0,0,0,0,0,0,0,1,0,0,0
Traffic signals,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,149,4,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedestrians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,17,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children crossing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,142,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicycles crossing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0
