,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),214,181,1,0,0,4,4,0,0,1,1,0,0,0,0,285,16,0,3,2,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Speed limit (50km/h),77,75,0,1,0,21,37,6,0,4,0,0,0,1,0,467,28,2,4,1,11,2,2,0,1,0,2,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,2
Speed limit (60km/h),21,12,0,10,3,27,12,3,0,2,6,0,0,11,0,286,33,0,2,0,10,0,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (70km/h),81,34,1,1,0,25,8,1,0,0,0,0,3,1,9,397,48,8,7,1,29,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Speed limit (80km/h),77,15,0,1,0,24,14,4,0,3,10,0,0,4,1,392,49,0,11,0,10,0,3,0,0,0,0,2,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0
End of speed limit (80km/h),0,0,0,1,0,3,83,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,4,0,0,36,0,0,0,0,0,0,6
Speed limit (100km/h),16,4,0,7,1,24,0,2,0,1,2,0,0,7,5,318,31,0,10,2,15,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Speed limit (120km/h),44,8,1,2,1,23,6,3,0,1,1,1,0,4,0,267,40,0,2,0,25,0,7,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6
No passing,0,0,0,1,0,8,0,0,0,394,18,0,0,0,0,4,6,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42
No passing for vehicles over 3.5 metric tons,0,0,0,1,0,21,2,0,0,41,486,1,11,0,0,15,23,0,1,6,27,1,2,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15
Right-of-way at the next intersection,0,0,0,0,0,0,0,0,0,0,1,252,4,0,1,2,1,0,7,29,5,38,0,1,1,3,4,32,4,6,27,2,0,0,0,0,0,0,0,0,0,0,0
Priority road,0,3,1,0,0,2,6,1,0,0,1,9,540,5,0,39,10,0,4,0,7,2,0,0,0,0,0,5,1,0,1,2,7,0,0,29,0,0,0,0,1,2,12
Yield,1,0,0,2,0,0,2,1,0,2,3,0,1,672,3,2,0,2,1,0,10,0,2,0,0,0,0,1,1,8,0,0,0,0,0,5,0,1,0,0,0,0,0
Stop,1,0,0,6,0,0,1,0,0,0,0,0,0,2,233,3,2,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No vehicles,0,47,0,0,0,0,0,0,0,8,8,0,1,2,1,134,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,8,0,1,4,3,0,1,0,40,9,1,0,0,0,16,47,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
No entry,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,343,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General caution,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,66,1,49,15,18,1,5,2,72,69,2,35,21,2,4,0,0,1,0,0,0,0,0,0,4
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,7,25,0,1,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Dangerous curve to the right,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,2,1,7,0,0,0,1,10,12,4,20,0,0,0,0,0,0,0,0,0,0,0,0
Double curve,0,0,0,0,0,0,4,0,0,0,0,18,20,0,0,0,0,0,2,14,0,16,0,0,0,1,0,2,0,1,5,2,1,0,0,0,0,0,0,0,0,3,1
Bumpy road,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,89,0,0,0,1,4,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0
Slippery road,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,37,27,23,0,0,1,8,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Road narrows on the right,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,4,9,11,14,1,1,3,1,4,14,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0
Road work,0,0,0,0,0,0,0,0,0,28,0,3,0,0,0,3,0,0,4,3,9,16,23,1,5,168,1,4,4,151,54,0,0,0,0,3,0,0,0,0,0,0,0
Traffic signals,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,10,5,8,0,0,0,90,44,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1
Pedestrians,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0
Children crossing,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,7,0,18,0,1,3,1,3,46,16,23,0,0,0,0,0,0,0,0,0,0,0,0
Bicycles crossing,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,4,15,0,8,21,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0
Beware of ice/snow,0,0,0,0,0,1,0,0,0,0,0,44,1,0,0,0,0,0,4,5,17,4,1,0,11,1,0,13,3,9,36,0,0,0,0,0,0,0,0,0,0,0,0
Wild animals crossing,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,41,18,94,11,13,13,18,1,8,0,20,6,2,0,0,0,0,0,0,0,0,0,0,0
End of all speed and passing limits,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,14,1
Turn right ahead,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,175,0,3,0,0,1,9,1
Turn left ahead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109,2,1,0,0,0,6,0
Ahead only,0,0,0,2,0,0,2,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,2,0,0,11,0,0,341,2,2,0,0,0,12,3
Go straight or right,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,5,0,0,100,0,2,0,0,0,3,0
Go straight or left,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
Keep right,0,0,0,3,0,0,25,0,0,0,0,1,5,9,1,20,1,5,30,2,15,3,0,0,0,3,4,5,0,2,0,1,16,0,0,512,2,2,0,0,0,7,16
Keep left,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,84,0,0,0,0,0,3,0
Roundabout mandatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,6,0,0,0,3,0
End of no passing,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4
End of no passing by vehicles over 3.5 metric tons,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,64
